cid,drug_name,smiles,molecular_formula,molecular_weight
146,,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C20H25N7O6,459.5
147,,CNCC1=CN(C(=NC1=O)[SeH])C2C(C(C(O2)CO)O)O,C11H17N3O5Se,350.24
148,,CNCC1=CN(C(=NC1=O)S)C2C(C(C(O2)CO)O)O,C11H17N3O5S,303.34
149,9-(5-S-Methyl-5-thiopentofuranosyl)-9H-purin-6-amine,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,C11H15N5O3S,297.34
150,"(5-Amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate",C(C1C(C(C(O1)N)O)O)OP(=O)(O)O,C5H12NO7P,229.13
151,Phosphoribosyl-N-formylglycineamide,C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O,C8H15N2O9P,314.19
152,n-Glycyl-5-o-phosphonopentofuranosylamine,C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O,C7H15N2O8P,286.18
153,"{[5-(5-amino-1H-imidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid",C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N,C8H14N3O7P,295.19
154,"(5-((1-Amino-2-formamidoethylidene)amino)-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate",C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O,C8H16N3O8P,313.20
155,5-Ureidoimidazole-4-carboxylic acid,C1=NC(=C(N1)C(=O)O)NC(=O)N,C5H6N4O3,170.13
156,"5,6,7,8-Tetrahydropteridine",C1CNC2=NC=NC=C2N1,C6H8N4,136.15
157,"2,3,4,6-Tetrahydroxy-5-oxohexanoic acid",C(C(=O)C(C(C(C(=O)O)O)O)O)O,C6H10O7,194.14
158,8-iso PROSTAGLANDIN E2,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,C20H32O5,352.5
159,"5-(5-Hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta(b)furan-2-ylidene)pentanoic acid",CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,C20H32O5,352.5
160,"7-[3,5-Dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid",CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,C20H34O5,354.5
161,"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",C1C(=NC2C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C9H18N5O13P3,497.19
162,"6-Amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid",CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C,C8H12N2O3S,216.26
163,"7-[2-[3-[[4-[[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid",CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O,C28H46N7O19P3S,909.7
164,6-Diazo-5-oxo-DL-norleucine,C(CC(=O)C=[N+]=[N-])C(C(=O)O)N,C6H9N3O3,171.15
165,"5-Amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium",C(CC(=C[N+]#N)O)C(C(=O)O)N,C6H10N3O3+,172.16
166,"1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione",CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N,C9H13N5O3,239.23
167,"6,7-Dihydropteridine",C1CN=C2C(=N1)C=NC=N2,C6H6N4,134.14
168,GlyTouCan:G23980IF,C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O,C12H23O14P,422.28
169,"5,12-Dihydroxyicosa-6,8,10,14-tetraenoic acid",CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O,C20H32O4,336.5
170,,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O,C14H14N6O3,314.30
171,,C1=C(C2=C(N1)NC(=NC2=O)N)CN,C7H9N5O,179.18
172,"Cholesterol, 7-dehydro-",CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,C27H44O,384.6
173,7-Keto-8-Aminopelargonic Acid,CC(C(=O)CCCCCC(=O)O)N,C9H17NO3,187.24
174,Ethylene Glycol,C(CO)O,C2H6O2,62.07
175,Acetate,CC(=O)[O-],C2H3O2-,59.04
176,Acetic Acid,CC(=O)O,C2H4O2,60.05
